[2026-03-19 09:39:02] 📋 ==================================================
[2026-03-19 09:39:02] 📋 构建开始
[2026-03-19 09:39:02] 📋 ==================================================
[2026-03-19 09:39:02] 📋 日志文件: /workspace/logs/build/build_20260319_093902.log
[2026-03-19 09:39:02] 📋 入口文件: /workspace/scripts/main.lua
[2026-03-19 09:39:02] 📋 脚本目录: /workspace/scripts
[2026-03-19 09:39:02] 📋 工作目录: /workspace
[2026-03-19 09:39:02] 📋 MCP 环境: production
[2026-03-19 09:39:02] 📋 纹理压缩限制: 每次最多 10 张
[2026-03-19 09:39:02] 📋 步骤 1: 验证入口 Lua 文件存在
[2026-03-19 09:39:02] ✅ 入口文件存在
[2026-03-19 09:39:02] 📋 ⏱️  耗时: 0.02s
[2026-03-19 09:39:02] 📋 步骤 2: 验证 Lua 文件包含 Start() 函数
[2026-03-19 09:39:02] ✅ Start() 函数验证通过
[2026-03-19 09:39:02] 📋 ⏱️  耗时: 0.03s
[2026-03-19 09:39:02] 📋 步骤 3: 验证 scripts 目录存在
[2026-03-19 09:39:02] ✅ scripts 目录存在
[2026-03-19 09:39:02] 📋 ⏱️  耗时: 0.12s
[2026-03-19 09:39:02] 📋 步骤 4: 启动 Lua LSP watch 模式
[2026-03-19 09:39:02] 📋 LSP watch 已运行 (PID: 2141)
[2026-03-19 09:39:02] ✅ Lua LSP 检查通过: 0 个错误
[2026-03-19 09:39:02] 📋 ⏱️  耗时: 0.08s
[2026-03-19 09:39:02] 📋 步骤 5: 检查并初始化 .project 目录
[2026-03-19 09:39:02] ✅ .project 目录已正确初始化
[2026-03-19 09:39:02] 📋 ⏱️  耗时: 0.06s
[2026-03-19 09:39:02] 📋 步骤 5.6: 检查/更新 multiplayer 配置
[2026-03-19 09:39:02] ✅ 使用本地已有的 multiplayer 配置
[2026-03-19 09:39:02] 📋 ⏱️  耗时: 0.02s
[2026-03-19 09:39:02] 📋 步骤 6: 更新 project.json 的 entry
[2026-03-19 09:39:02] 📋 更新 project.json: /workspace/.project/project.json
[2026-03-19 09:39:02] 📋   设置 entry: main.lua
[2026-03-19 09:39:02] ✅ project.json 更新完成
[2026-03-19 09:39:02] 📋 步骤 6.1: 检查 project_id 一致性
[2026-03-19 09:39:03] ✅ project_id 一致性检查通过: p_70vd
[2026-03-19 09:39:03] 📋 ⏱️  耗时: 0.09s
[2026-03-19 09:39:03] 📋 步骤 7: 调用 project_builder.py 进行构建
[2026-03-19 09:39:03] 📋 已设置 AssetsCooking 可执行权限: /home/Maker/.sce/build/AssetsCooking
[2026-03-19 09:39:03] 📋 执行脚本: /home/Maker/.sce/build/project_builder.py
[2026-03-19 09:39:03] 📋 参数: --project /workspace --platform all --cooking /home/Maker/.sce/build/AssetsCooking --cooking-limit 10 --no-7z
[2026-03-19 09:39:03] 📋 Python: python3
[2026-03-19 09:39:29] 📋 project_builder.py stdout:
[2026-03-19 09:39:29] 📋   [INFO] 开始构建项目: /workspace [平台: all]
[2026-03-19 09:39:29] 📋   [INFO] [1/13] 初始化构建目录...
[2026-03-19 09:39:29] 📋   [INFO]   完成 (0.07s)
[2026-03-19 09:39:29] 📋   [INFO] [2/13] 加载配置...
[2026-03-19 09:39:29] 📋   [INFO]   解析平台配置: all
[2026-03-19 09:39:29] 📋   [INFO]   项目: p_70vd v1.0.0
[2026-03-19 09:39:29] 📋   [INFO]   入口: main.lua
[2026-03-19 09:39:29] 📋   [INFO]   输出: /workspace/.project/../dist/1.0.0
[2026-03-19 09:39:29] 📋   [INFO]   构建号: 100
[2026-03-19 09:39:29] 📋   [INFO]   完成 (0.05s)
[2026-03-19 09:39:29] 📋   [INFO] [3/13] 加载远程资源...
[2026-03-19 09:39:29] 📋   [INFO]   加载远端来源: engine (tag: stable)
[2026-03-19 09:39:29] 📋   [INFO]     导入 4 个远端资源: engine
[2026-03-19 09:39:29] 📋   [INFO]   加载远端来源: engine-res (tag: stable)
[2026-03-19 09:39:29] 📋   [INFO]     导入 1223 个远端资源: engine-res
[2026-03-19 09:39:29] 📋   [INFO]   加载远端来源: official-res (tag: stable)
[2026-03-19 09:39:29] 📋   [INFO]     导入 25358 个远端资源: official-res
[2026-03-19 09:39:29] 📋   [INFO]   完成 (3.30s)
[2026-03-19 09:39:29] 📋   [INFO] [4/13] 扫描本地资源...
[2026-03-19 09:39:29] 📋   [INFO]   扫描目录: ../assets (prefix: ../assets)
[2026-03-19 09:39:29] 📋   [INFO]   扫描目录: ../scripts (prefix: ../scripts)
[2026-03-19 09:39:29] 📋   [INFO]   发现资源: 359 个
[2026-03-19 09:39:29] 📋   [INFO]   完成 (5.23s)
[2026-03-19 09:39:29] 📋   [INFO] [5/13] 处理配置文件运行时变体...
[2026-03-19 09:39:29] 📋   [INFO]   处理配置文件运行时变体: settings.json
[2026-03-19 09:39:29] 📋   [INFO]     UUID: FiU5KSoyQiGlA6fMBhu0kw, hash: 82e0a33f
[2026-03-19 09:39:29] 📋   [INFO]     自动添加 #config 到 preload_groups
[2026-03-19 09:39:29] 📋   [INFO]   完成 (0.04s)
[2026-03-19 09:39:29] 📋   [INFO] [6/13] 解析别名...
[2026-03-19 09:39:29] 📋   [INFO]   解析别名: 0 个
[2026-03-19 09:39:29] 📋   [INFO]   完成 (0.00s)
[2026-03-19 09:39:29] 📋   [INFO] [7/13] 分配分组...
[2026-03-19 09:39:29] 📋   [INFO]   添加远端资源: 1223 个
[2026-03-19 09:39:29] 📋   [INFO]   分组完成，总资源: 1583 个
[2026-03-19 09:39:29] 📋   [INFO]   完成 (0.01s)
[2026-03-19 09:39:29] 📋   [INFO] [8/13] 展开引用...
[2026-03-19 09:39:29] 📋   [INFO]   递归收集 uuid:// 和 alias:// 引用...（全量模式（兼容旧二进制））
[2026-03-19 09:39:29] 📋   [INFO]   #blocking 组: 895 个阻塞类型资源
[2026-03-19 09:39:29] 📋   [INFO]   完成 (0.10s)
[2026-03-19 09:39:29] 📋   [INFO] [9/13] 资产烘焙...
